LIMIT_BAL,AGE,EDUCATION,MARRIAGE,SEX,PAY_1,PAY_2,PAY_3,PAY_4,PAY_5,PAY_6,BILL_AMT1,BILL_AMT2,BILL_AMT3,BILL_AMT4,BILL_AMT5,BILL_AMT6,PAY_AMT1,PAY_AMT2,PAY_AMT3,PAY_AMT4,PAY_AMT5,PAY_AMT6,DEFAULT
288167,48,4,1,2,8,-1,5,0,1,6,297447,-5625,712530,928937,-45717,-13550,25132,65784,72291,64779,70546,152,0
51090,62,4,3,2,7,1,2,9,4,0,51774,672764,180167,261541,432174,781214,94334,68844,75327,64138,43363,771,1
339365,68,2,1,1,8,1,5,9,-1,0,140659,90609,584392,856799,488426,516764,82163,63947,6279,22293,29944,66441,0
74820,55,4,1,2,0,9,6,4,2,1,499496,257059,-65247,737755,610362,48240,44155,20797,98937,69123,4233,27238,0
797201,77,2,2,1,5,-1,1,-1,9,4,920189,545559,283404,274080,-95123,604537,64459,45942,22374,80721,75964,76325,0
331879,63,3,3,1,8,7,-2,4,8,-1,542380,144709,80493,91610,781678,183495,65759,41548,80909,62586,36167,55168,1
728315,29,4,2,2,6,1,7,1,6,5,333729,230305,845328,646954,199276,432230,10738,65471,12396,96682,14387,79256,0
337069,50,3,3,2,-1,6,4,8,8,-1,315164,132818,981145,844342,585316,-62281,81547,52216,29370,8952,90038,55694,0
786997,25,1,2,1,9,5,4,3,6,1,371831,184424,364009,517410,849619,404834,62032,7556,28035,58598,18875,14659,0
209041,76,4,1,1,1,8,2,6,1,-1,-79188,814121,971269,236403,604430,314299,66612,86658,83947,73848,91935,91757,0
801743,20,1,3,2,5,-2,2,5,5,6,410066,891080,425467,512706,948618,641536,52026,92788,20326,23957,65454,97229,0
113355,26,2,3,1,2,5,-2,6,2,1,25761,966414,735064,539987,76608,596622,46834,7315,25484,25923,99487,30927,0
245796,77,4,1,2,-2,8,0,2,0,2,922592,-19341,21086,511314,746368,817643,5786,33870,71927,25258,94929,98506,0
224176,46,4,2,2,3,6,-2,2,3,6,82857,556974,686116,833172,834145,-9148,89773,50395,62209,13256,25141,24645,0
194779,40,4,3,2,6,5,4,1,1,-1,85357,629015,166926,686856,559902,197861,99839,62002,39504,42927,95751,70868,1
357449,47,1,1,1,6,7,2,6,0,1,283184,355611,138020,379469,418869,244370,71709,49885,73882,94567,97107,2207,1
431909,35,1,1,2,8,-2,9,7,1,3,660785,991287,874568,797226,994210,320395,41160,16845,23334,69941,97485,71277,1
999436,75,2,3,1,-2,5,1,5,-2,-2,537574,925932,255946,503334,310831,770370,94401,47808,59536,83462,1812,32806,1
268795,65,3,3,1,1,9,4,3,7,-2,796020,529880,473822,-40789,431337,148963,8472,79290,3579,90920,72639,3245,1
496232,42,3,3,2,-2,2,6,7,5,4,609722,841058,354847,301731,881451,231748,60331,32621,73592,49724,20210,42331,0
927040,71,1,1,1,4,6,3,3,6,3,573441,70208,135928,432758,241484,511138,30613,66858,16837,50826,86604,40156,0
510186,39,4,2,1,0,6,6,3,3,1,359161,89688,830005,913785,763348,653487,88912,2886,80514,72897,6937,77973,1
166730,57,3,2,1,-1,3,3,3,2,2,329211,544292,252193,71489,78854,835861,21182,50396,70931,19086,29539,33568,1
880910,73,3,3,1,5,0,7,4,9,2,146674,499745,249545,606378,837010,398249,94939,39666,81554,95331,16081,30926,0
394681,44,1,1,1,6,9,6,3,6,6,809718,863082,796400,548114,-57670,149971,89315,86087,67216,17228,43934,26564,1
159503,47,2,1,2,4,4,3,5,1,2,854887,685357,990723,52242,-30810,588144,62002,8212,36355,51602,55261,83276,1
664811,24,1,3,2,3,0,6,4,-2,-1,553341,493257,163949,239829,-85831,897650,86302,41701,38013,490,68874,59777,1
537035,75,1,1,1,7,4,0,-1,9,4,455782,378424,891,937878,567326,958816,55051,33314,94243,36942,8014,39210,1
658143,40,4,1,2,8,5,2,7,8,7,513633,517917,553704,244948,-28998,603049,78611,99571,20231,81648,78011,61509,1
462366,37,1,1,2,3,2,8,1,4,6,230884,794004,955559,42941,590100,572056,33072,46426,51821,4653,54514,33583,1
75725,66,4,3,2,6,2,2,8,-2,4,810792,146413,132883,769734,532973,276640,71756,91057,15426,98528,94723,44054,1
139981,25,2,3,1,2,1,7,4,9,5,117655,951950,81716,442291,916460,-23853,22637,42699,4307,98064,84544,20686,1
94654,76,4,3,1,2,0,5,-1,6,7,662131,724934,115760,519855,471469,129797,48075,10387,49791,59457,65292,26245,1
963277,48,2,2,2,-1,9,8,1,1,0,908092,740658,-84730,-20743,709387,145075,40932,89300,9756,49481,10510,6284,1
915778,38,2,2,2,3,5,8,-1,9,8,164389,859382,-83158,359073,161343,204278,14944,91309,45815,46229,21180,71820,1
601723,52,2,3,2,9,8,4,-1,0,6,-97469,894398,401734,-83304,49542,207550,98377,42770,38479,19184,93871,63665,0
329030,20,1,1,1,9,3,-1,4,1,4,232984,182043,469950,957708,734881,938832,30156,20684,12018,38930,11372,53796,0
338947,64,4,1,1,9,3,8,8,-2,7,708468,85687,360879,-93595,-5605,811620,74876,58671,39114,9640,63653,30514,1
565839,22,3,3,2,3,-1,-1,-1,3,1,290160,880533,283051,109941,282655,552707,55163,51425,98857,82974,56514,50339,1
912648,61,1,1,1,3,1,4,1,4,9,764334,854202,81144,76150,243772,251971,85095,977,49030,63747,7756,42312,0
283538,40,2,1,1,1,2,7,4,4,7,326010,305663,53424,849311,-91047,-79214,93171,56322,13428,90301,25787,74052,1
341236,54,3,2,1,8,8,9,3,2,4,759474,554797,340131,229747,-12033,742838,42353,63289,59134,88205,7155,84035,0
538178,60,1,1,2,4,7,7,1,7,0,207946,-10635,755109,217691,870559,437459,31220,8996,4872,29236,47807,15293,0
575894,59,3,1,1,6,2,1,6,9,8,473810,-16809,291217,31823,900268,592639,58499,18882,89881,99551,8422,28830,0
499492,22,2,3,1,-2,0,3,2,7,7,975568,797331,254927,808144,229730,889182,91914,30132,71776,35954,87444,39431,1
266840,44,3,2,2,0,7,6,-1,2,4,512037,741883,717934,760799,17657,47569,6203,49957,48263,24869,30883,12759,0
483254,64,3,2,2,7,2,7,4,3,0,879652,-8939,529972,126763,657980,491450,75075,78435,22812,66940,17499,74634,1
359457,57,2,1,2,6,2,8,7,7,-1,-76848,513088,136727,841167,109055,905106,11486,51216,34275,75514,24592,25285,1
675987,64,3,3,1,2,-1,1,9,9,-2,827369,83143,666145,707152,497887,474666,42590,48362,78232,37307,58134,42476,1
280936,74,1,2,1,3,2,4,-1,5,8,488007,48268,985336,-24326,490814,859436,88635,3438,93638,11652,17526,41120,1
249931,39,3,2,1,5,0,6,5,6,3,153937,457339,736694,114743,361300,516688,12092,52924,98354,75784,29631,18266,1
249629,71,4,1,1,6,0,-2,4,3,0,26491,756130,949864,389236,875141,960838,84804,44884,50706,21635,4433,43564,0
215041,63,1,2,1,5,2,7,9,0,7,438404,842573,136067,945991,181684,893353,67626,68376,22920,32371,93487,20109,1
708361,64,3,3,1,0,6,8,6,3,9,855683,226324,118918,447778,359413,-15639,56663,30061,16654,70476,94452,38487,1
741912,53,4,3,2,7,-1,-1,3,1,8,139607,884678,193766,-19386,-43395,887881,98114,82464,67704,30322,12280,98081,1
427113,40,4,2,1,-2,6,6,4,1,-1,948376,622573,876771,947094,739860,980394,44458,45831,11334,3509,27095,88022,1
78148,75,4,3,1,8,0,2,7,8,8,42216,20789,-58829,538788,542643,471621,66339,51050,5387,90473,74305,68762,0
787089,74,3,3,2,9,9,1,6,8,0,829747,240822,791416,-51420,570196,465481,15587,32231,24780,98744,46992,57287,0
658531,67,2,1,2,2,4,4,4,4,5,959178,90540,462916,916153,993505,238554,85386,38325,99346,8199,20418,30605,0
261995,42,4,2,1,4,9,2,6,3,0,-76599,459853,699740,867962,-82394,188209,33156,20399,74917,47065,5447,85319,1
916606,25,2,2,1,-1,-2,-2,5,5,1,472368,859532,522242,198059,771344,681926,78017,94995,35116,62712,74389,45347,1
688843,70,1,1,2,-2,-2,6,2,8,-1,239826,801576,948631,538243,647483,25133,98533,45483,80042,58395,61829,65620,1
920790,72,2,1,1,1,5,5,4,5,5,109439,-51960,166033,904188,470109,922961,23093,14873,21942,9947,19890,94364,1
582843,32,2,1,2,0,6,0,9,0,3,294821,311397,727890,788102,867870,763337,68623,4719,60896,66000,448,57173,1
266508,68,2,1,2,1,0,7,4,8,6,970515,547515,729560,463046,122901,895504,68389,51544,93501,52398,84602,25676,1
813591,42,2,3,1,-2,3,0,-2,1,5,-91611,966374,462735,565218,219621,992766,96975,16668,96486,90603,45506,29178,1
906942,28,2,3,2,-1,0,0,1,-1,1,-71098,442930,54969,191826,482077,723344,57930,28567,63547,78166,73229,7191,1
116530,36,1,1,1,-2,3,4,2,-2,5,634912,434878,436612,360113,595390,268396,40136,63163,98387,756,51792,47956,1
614365,21,1,2,2,0,4,-1,9,4,-2,678919,407106,587594,789135,553129,696214,82583,95882,24039,38964,95072,75901,1
832352,38,2,2,2,1,2,6,3,5,8,381394,-68932,985665,-70689,511205,771111,45154,32582,95361,68173,11630,84332,1
470337,38,2,2,2,-2,0,1,4,9,6,690153,359822,168658,665182,427367,267714,485,54789,39,42978,74908,9993,1
734839,75,4,1,1,3,5,4,2,5,2,27051,604362,544733,589269,237576,47927,94487,66224,65901,75330,30702,24613,1
815889,26,1,3,1,-1,2,5,-1,3,1,37508,940917,587667,-35878,316526,827628,7539,26225,32076,89409,75835,11589,1
469773,73,3,3,1,7,-2,2,2,4,2,260162,-62384,594226,211400,891381,540086,22821,68790,26726,26193,3301,68529,0
218261,61,1,3,1,9,9,5,2,5,-2,303259,-53924,178618,626725,479528,456925,83805,16486,86752,90718,54012,17530,1
774469,61,3,3,1,8,6,1,4,1,-1,44986,752455,291234,389182,371637,190504,82409,34441,96969,53007,82172,44896,1
351097,78,4,2,1,2,0,7,0,5,-1,11986,315031,385,799671,441457,572452,67746,55324,95191,85783,38438,31048,0
325139,39,2,2,2,5,-1,-1,-2,3,8,457378,-72341,774674,74353,983498,936775,52756,62718,43696,49778,6889,93429,1
181829,28,4,3,2,9,0,0,9,9,6,509459,57700,207839,749941,675036,749967,22389,24424,90229,58826,77588,37000,1
281836,36,2,1,1,1,4,3,3,4,3,346831,295980,-7942,204500,958018,703303,99059,59337,38698,10895,16928,49228,1
448974,46,1,3,1,2,9,7,9,7,0,712733,959254,693451,108945,360120,584003,22160,91588,57332,54580,96375,69001,0
999913,66,2,3,1,6,8,3,4,4,1,520939,-15394,685064,70569,958387,335468,26099,50866,29657,26111,96479,57894,1
212283,21,3,1,2,-1,9,9,8,5,-2,711761,422738,92815,38114,435590,350089,22298,109,66398,1924,40920,16468,1
206769,55,3,3,1,9,7,9,7,8,4,847536,615593,954681,-80583,49692,627953,53368,39011,26813,91511,48065,9850,1
571353,38,4,2,1,9,5,9,5,2,4,57914,915503,-68317,995834,224592,711789,7500,22860,66634,79798,35875,29021,0
233165,36,1,1,1,-1,-1,4,4,-1,5,38160,84417,463428,915288,86188,608306,13634,70488,60985,14315,87169,81558,1
633587,24,3,1,2,3,4,9,4,5,-2,344461,980374,758160,539188,328317,169096,78900,50826,30924,84724,50780,95609,1
960110,58,4,3,2,3,8,8,4,-2,6,-44694,452956,270367,112478,632210,135971,76733,6979,55465,82990,41928,79308,1
545822,37,1,2,2,0,2,1,-2,-1,-1,688495,-38969,-13789,697772,406656,31263,84885,25440,47821,39806,29,51609,0
497879,72,1,2,2,9,6,5,6,2,-2,385048,-16041,910993,-78337,516401,891068,13345,62193,21013,20501,99873,14784,0
574685,73,4,2,1,6,4,5,6,1,-2,720274,484862,337431,416912,155411,874035,85460,52774,14084,39116,76697,98283,1
792038,78,3,3,1,-2,-2,8,4,9,5,621520,510290,412264,130852,675240,324234,43961,94312,96802,27350,71153,56728,1
363531,26,3,3,1,9,-2,4,6,8,0,210838,65669,-1337,439880,409837,256650,61373,20411,81265,9680,56288,56744,0
273160,36,4,2,2,0,3,0,8,-1,3,299784,877278,7639,882516,955684,677165,33292,37102,7610,83618,76343,61822,1
589879,58,3,3,1,5,6,0,1,1,3,575543,657974,222588,250623,490000,451225,89215,33587,43050,88113,52854,64970,1
230884,55,4,2,2,5,-2,-1,4,4,8,830677,922477,26470,624088,-80561,989783,14502,58381,25700,91054,66366,97858,1
33247,59,3,3,1,1,0,8,-1,2,-1,-9727,120152,356360,536212,316774,109335,76138,45838,78633,45808,58271,87255,0
34300,64,3,1,1,5,2,4,3,1,-1,450094,878311,2940,987470,503759,313559,66774,70584,49148,1750,72755,86288,1
477281,23,4,1,1,8,1,3,-1,-1,-2,795312,85093,125964,422907,707917,410016,1694,90666,43434,51594,74907,36052,0
617086,57,4,3,1,7,-2,9,7,-1,6,464756,611502,712816,15023,199947,564010,84711,33891,63227,11611,29323,15969,0
543556,44,3,3,2,5,7,4,0,-2,-2,859899,365906,998751,210991,899986,139028,30345,72675,48219,27666,37135,77291,1
358951,24,4,2,2,-2,1,-1,8,7,3,71626,-30288,219070,578523,258380,174786,97851,64871,30184,58169,92717,8179,1
284329,49,3,1,2,0,1,1,8,3,9,-31291,753178,92912,482029,859586,-64072,71616,43898,78936,55248,5751,41286,1
729064,31,2,2,1,-2,8,-2,-2,3,6,194741,252389,13822,198354,905754,398435,6401,16533,6298,6677,64091,19471,1
752139,23,1,3,2,-1,9,-1,4,1,3,686977,437563,21701,303736,382529,192709,87681,88882,19468,9862,39439,60429,1
442315,43,1,2,1,1,7,4,9,6,8,-77112,104425,183204,663814,964703,723344,78616,14574,56287,14031,49884,85575,1
936075,48,3,2,1,0,1,2,-1,1,3,345162,-47060,253951,304181,-80822,754883,89693,6913,81499,16666,218,67,0
526588,28,1,3,1,8,0,7,0,0,1,548503,530602,991652,-24559,931839,486179,50302,41480,410,79873,69121,7167,0
246584,23,3,1,1,3,4,0,9,8,2,728425,826282,697120,110582,290516,332158,3667,12523,9165,11411,77932,94182,1
572332,70,4,2,1,9,-2,-1,-2,7,-2,358530,-47939,312541,271243,872182,575504,66768,62893,77000,16347,50168,48943,0
847646,43,2,3,2,9,-1,0,0,6,0,952887,621110,325363,134660,982233,67640,56951,87082,40131,31380,55949,72954,1
988732,33,1,2,2,2,-2,1,8,-2,8,679083,489500,545373,939382,-75296,78075,15899,13729,61600,22569,74989,81177,1
386896,24,1,3,1,2,1,7,1,-1,3,242206,-64870,845482,444488,401404,867830,60485,34045,36651,74910,23250,45065,1
58984,37,4,3,1,7,2,7,4,-2,-1,962268,816174,27930,547809,233600,891542,69120,25084,76287,67843,35475,53738,1
312918,61,2,3,2,4,8,2,3,4,-2,65663,194412,977174,437043,335578,169697,3031,16554,77248,57338,95134,71105,1
274712,76,2,1,1,4,7,5,-2,9,-2,764361,309670,117819,782485,224695,745118,91497,86042,1028,89821,49247,68467,0
130151,38,2,1,2,6,2,6,8,-2,-2,922007,404414,203248,550393,304293,357377,21773,49260,10677,6122,80981,26769,1
465808,31,4,3,1,5,-1,-1,1,8,7,632227,737381,-90111,613665,290153,613586,73719,68788,85612,32648,10381,91031,1
995067,37,1,1,2,0,8,9,6,8,7,645160,445005,50459,-51264,859414,8842,66586,41538,7404,7780,87376,69414,1
143767,36,1,2,1,-1,0,0,0,-2,9,224185,890750,397466,350633,293745,922962,25581,62655,29789,3800,92858,14792,1
658663,49,2,1,2,-2,1,1,3,3,-2,613738,190704,721947,480507,979817,923282,60620,26575,41315,94681,35505,93162,1
713550,43,4,1,1,7,7,4,8,3,3,353044,257510,767199,742766,934682,878085,43597,49211,75800,34572,27625,27525,0
146330,30,4,2,1,3,3,3,-1,8,7,484479,259824,625256,401210,-88447,890735,11391,42065,45113,20971,37483,99400,0
490754,54,4,2,1,1,3,3,2,9,1,602600,815433,463538,622020,319418,361626,53269,97497,47971,235,20553,98469,1
311648,42,2,2,1,0,9,7,6,2,1,403638,897105,159640,312467,882825,279840,81796,6159,27933,66743,22613,28750,0
698519,36,4,3,1,8,-1,4,9,1,1,911551,485201,373462,317643,741840,193585,23780,93265,12829,62699,23696,17295,1
23986,20,2,2,2,8,-1,-2,-1,5,5,572725,-54278,824170,-97493,401186,656466,37488,45935,34155,94084,49890,33076,1
596146,34,2,2,1,-1,6,5,0,0,4,901521,724844,611804,570989,856401,602652,44206,58824,92860,24440,79032,93845,0
139312,51,2,2,1,-1,9,6,9,-2,2,934824,862023,-31558,-25715,193646,154236,50265,39500,33374,17166,8405,93406,0
22666,79,3,3,1,8,-1,-1,-1,-2,4,329108,258033,783994,34439,296262,343473,97364,30635,42817,93373,39815,79239,1
310804,28,2,1,1,1,-1,-2,-1,2,5,740280,742075,43271,448538,394592,920529,19395,59226,21407,64642,80265,70965,1
144633,34,4,3,2,-2,0,1,3,0,7,645679,168509,714443,206969,644403,490176,39585,1227,72201,96691,85969,34116,1
298998,47,3,1,2,3,6,8,3,0,5,930253,329791,216245,38625,841757,772762,72914,13887,95625,23575,81127,20089,1
860937,43,1,2,2,7,3,-1,2,8,8,50240,290160,324058,524190,975491,975795,71020,70429,95377,54894,7778,93390,1
638776,79,1,3,1,8,8,3,-1,-1,4,315169,694194,21594,566008,14018,190691,16609,31927,1699,403,21909,48787,1
717611,54,4,3,1,2,9,0,-2,6,4,334891,-59236,985562,-53982,370253,36076,63176,21407,3482,52207,72161,67367,1
294806,41,4,1,1,7,3,6,0,8,6,-21247,882343,488975,423574,590575,997717,6221,55492,17668,3593,75307,64500,1
804824,46,4,3,1,6,9,5,0,3,8,637869,371619,782669,-7326,370277,689861,7416,66145,58404,82495,15551,19605,1
40535,38,4,3,1,-1,7,4,6,4,2,319194,926478,923330,753146,651765,340411,74857,58507,99633,89978,26852,36533,1
385713,64,3,1,2,6,2,8,1,-1,5,90173,635216,332244,469888,-86554,590558,95524,35872,24002,86810,91801,64219,1
848688,31,4,3,2,6,4,4,6,8,-1,186204,880791,36481,599529,340286,302839,58811,46697,38045,87984,16469,28795,1
361279,39,2,3,2,7,8,4,8,-2,9,174081,723678,-62368,609300,243952,586528,18107,16112,30070,76339,1784,88795,1
923910,20,1,2,1,6,1,2,-2,5,5,162731,874666,432283,613168,-86865,801748,16442,72355,37995,77969,35796,15009,1
831654,40,4,2,2,7,7,5,0,7,-2,820089,-46421,781861,854310,463113,369213,54098,84849,24084,13104,83351,34231,0
611661,68,2,2,2,7,7,1,-2,1,6,98623,326822,625210,634682,859143,213471,93821,99124,76073,19643,83175,31362,0
657972,64,4,2,1,1,0,2,3,6,-2,617522,824226,773638,35649,659437,642247,59175,52101,54081,89402,39207,39120,1
499570,20,2,2,2,2,4,0,-2,9,5,784663,511551,21142,181367,995112,888989,39595,53672,45711,43461,4140,8074,1
466551,29,3,3,1,5,7,0,-1,6,0,104599,463881,971762,996859,67411,661116,32957,93791,60636,86227,24499,99709,0
283109,66,1,3,1,5,-2,-1,6,8,1,836917,521846,582661,207049,6119,518142,94320,75425,89733,16611,43815,87457,1
34538,78,1,2,1,-2,3,2,8,9,8,757135,652853,824532,730382,92233,845982,42057,3993,63998,54213,21021,29201,1
904498,78,3,1,1,7,8,9,-2,1,7,688544,104877,93138,195692,33466,762975,2723,5472,94619,24450,60467,84377,1
211664,51,2,2,1,-2,8,-1,1,7,4,582726,402291,913825,684555,920019,108373,3772,24513,11595,81170,59023,65266,1
501234,58,4,3,2,7,8,7,3,0,7,599892,150036,450680,92794,950617,-65419,75855,93965,56959,52848,26997,41422,1
909684,79,2,1,1,3,-1,1,-1,2,0,264257,328396,555412,14762,747809,-99099,57614,57252,67262,91708,50174,78881,1
149182,41,1,2,1,4,-1,7,-2,3,6,723019,942055,299564,999593,998599,569112,75345,53262,44465,69330,50013,4393,0
482525,37,3,1,2,-1,8,9,1,7,0,251998,6246,169892,694396,934199,298199,86533,84090,39131,94673,74536,42659,0
168338,67,3,2,1,-1,5,-2,0,1,5,544200,973635,314548,803403,173991,411622,2542,78393,88539,48984,45477,61858,1
194064,65,2,3,1,2,0,-1,4,-2,5,-24599,158352,191976,83508,823838,94569,85545,79827,85441,9763,62854,58613,0
224020,51,2,2,2,6,6,8,4,4,0,728427,736035,209430,918151,242364,765457,77246,98011,75905,92887,77798,87549,1
633094,46,3,1,2,2,1,-2,9,2,0,424278,680083,635254,561324,144186,629865,24175,3346,97211,62490,22744,13935,1
934414,47,1,3,1,5,3,-1,7,-1,7,823305,646293,422048,168699,718570,534470,31703,71789,51875,45302,89461,27766,0
907421,37,4,2,2,5,-2,1,8,8,2,-80705,937162,782184,420703,245672,478098,29782,95982,10002,40797,66727,84881,1
625270,78,4,2,1,2,8,-2,4,6,5,621724,823290,500105,99494,196609,281032,41564,14250,68596,65384,10957,87504,0
655914,58,2,2,2,5,7,3,6,5,3,590585,662383,670037,984088,923136,331378,42734,3590,33772,90825,99338,76956,1
129176,68,3,2,2,5,7,-2,6,7,2,861372,926118,-89740,246254,51964,464529,60762,61304,39725,5726,49694,64425,1
927710,48,3,3,1,2,0,0,1,4,2,351418,290386,390607,155233,230317,599448,46370,69004,40627,45924,13881,8997,0
228126,37,3,3,1,2,1,-1,6,6,8,197651,202196,727017,485470,557658,687338,79353,10699,674,480,54813,96440,1
228969,63,1,2,1,1,2,-1,8,7,9,209705,812937,512032,562331,838469,483775,82458,4592,92011,98744,35925,85940,1
132409,27,2,3,2,-2,-2,1,4,-1,3,553417,49450,266146,492298,772998,395575,14753,5967,94213,84466,62345,50571,1
557707,73,2,1,2,6,1,6,3,0,5,844393,326617,239298,46209,706508,208463,72004,16462,76955,26729,21989,62310,0
978140,50,2,3,2,-1,2,0,8,6,3,759011,-90049,41804,803579,300446,314817,47434,49574,96864,39449,40545,8427,1
263618,53,1,1,1,-2,1,9,6,3,4,280502,570647,288816,468068,-70561,159261,71287,15208,58955,68955,39905,78630,1
779598,26,2,1,2,3,7,3,1,-1,6,491042,-23092,-25369,260741,530874,942242,22994,71968,89986,36832,40635,45245,1
60015,55,4,3,1,2,7,9,-2,3,4,72119,329555,952339,535113,545322,-7784,37608,85964,97201,43872,52319,86673,1
782838,37,2,2,1,8,4,8,3,2,6,968398,472529,929798,411661,658306,478056,31621,3773,92836,23887,64057,81399,1
132096,79,2,3,2,-2,5,7,-2,7,7,634692,344762,59607,521741,-38810,671303,85608,99510,34188,40453,60972,55364,0
641347,57,2,1,2,4,9,0,7,2,-2,80339,981149,328057,792659,210401,577385,12965,39977,59700,3506,68722,29965,0
195340,78,1,1,2,4,5,7,6,2,0,140106,680006,146952,787030,920333,695927,98277,31271,57787,70820,18490,35104,0
120687,28,4,3,2,0,0,2,2,-1,3,289904,454503,456099,704636,-24331,669518,18203,39360,34226,57695,38648,26104,1
884371,78,4,1,2,5,2,6,-1,3,0,749358,579024,398428,285854,910909,328968,52693,58691,51443,12578,3487,15713,1
421357,28,3,3,1,3,7,0,9,4,8,847953,-25933,551764,553987,911661,473277,26438,81295,75629,26080,24357,39868,1
745716,65,3,3,2,1,5,5,5,6,-1,505567,534919,686634,770663,810146,178453,51840,33434,5262,17566,34107,29634,1
115878,27,4,2,1,7,4,3,7,2,2,974147,87396,887101,482171,901288,-65261,56495,59974,19430,25080,50859,80128,0
737270,70,2,1,2,7,6,9,8,8,-2,211108,860951,63892,-76573,303251,801320,80076,81968,95687,81183,52291,45721,1
983548,54,2,3,2,7,7,5,3,8,2,220633,984903,539724,169038,378699,728564,43472,7953,57227,20773,40167,55720,0
208286,37,2,1,1,9,4,-1,0,2,8,68643,306476,196113,514264,829496,972470,37736,74048,42387,67922,9425,68457,0
783290,24,1,3,2,0,-1,6,8,6,5,855311,587725,672835,865945,607821,137590,55120,3000,84552,54847,47948,72298,1
784684,33,2,3,2,-2,1,-2,-1,3,6,754716,119501,777303,527564,993031,733537,42579,34763,46089,85836,34808,63658,0
174899,47,1,2,1,-1,9,0,7,4,7,-23964,-95232,165696,963330,32585,894131,31632,85002,15686,90417,96932,8516,0
983324,49,4,3,1,-1,9,1,8,1,3,160554,770587,599137,404868,125940,742719,3226,68549,4745,78100,54812,11108,1
334767,23,2,2,2,8,5,3,1,1,1,916530,828840,937620,595242,192095,687013,5082,62102,75628,22691,93624,19573,1
871882,58,2,1,2,2,6,8,-2,-2,0,832400,219521,780455,921118,115005,262116,66859,64314,72834,10880,36551,68716,1
889858,39,3,2,2,1,4,1,-2,8,5,305995,560551,425250,623951,207778,460535,45544,54199,13074,76819,76061,23516,0
389989,44,4,2,1,-1,2,8,2,2,9,311403,12416,841410,17538,162601,590420,85920,78762,43863,76842,71340,36787,1
425515,47,2,1,2,8,-2,-1,7,-1,-1,356364,796483,542231,826609,422611,503030,35594,29501,76822,80757,9429,36852,1
53585,31,1,2,2,6,6,0,6,2,5,500786,866199,416254,878427,-84316,215088,41351,52899,27991,10112,97496,44853,1
381369,21,4,2,2,4,9,0,9,2,4,715404,911282,453238,173771,60057,767991,33506,64687,67430,25752,16527,18132,0
74044,62,3,3,1,5,3,3,2,1,-1,382210,430922,178628,686707,879209,773891,95423,77805,73726,60916,66071,50887,0
970061,33,4,2,2,5,-1,2,3,9,-1,97877,9291,98434,814030,667618,-71761,24889,91249,31994,73225,52525,48550,1
452296,41,1,3,1,-1,8,2,7,7,-1,184451,683370,964295,-34196,344106,385498,69179,34506,34255,82427,12973,26220,0
119556,50,3,2,1,2,7,8,6,6,-2,301831,-58406,933445,591559,8645,828269,84964,72244,99938,80111,66060,98691,1
