age,gender,driving_experience,car_age,car_value,car_category,annual_mileage,traffic_violations,previous_accidents,urban_driving_percent,night_driving_percent,credit_score,married,children,has_garage,education_level,income_level,claim_occurred,claim_amount
64,female,39,15,54757,sedan,4365,0,1,78,77,752,1,0,1,phd,78486,0,0.0
77,female,11,11,98526,sports,26836,2,0,32,66,603,0,1,1,high_school,70112,0,0.0
24,female,1,12,74201,sports,29554,0,1,31,45,699,1,0,0,bachelors,151160,0,0.0
61,female,10,15,86844,truck,22663,0,0,86,77,619,1,1,0,masters,41171,0,0.0
78,male,43,0,76388,sedan,6951,1,0,57,66,563,1,1,0,phd,129897,0,0.0
25,male,27,15,10462,sports,16175,2,0,25,41,664,1,0,0,bachelors,194529,0,0.0
64,male,17,14,36795,truck,12027,0,0,60,63,688,0,1,0,bachelors,95907,0,0.0
52,male,12,5,74806,truck,43273,0,0,16,72,526,0,0,0,bachelors,68664,0,0.0
31,male,36,11,53465,SUV,11094,0,0,72,52,755,0,5,1,bachelors,95343,0,0.0
34,female,21,7,66109,sedan,24081,0,0,68,70,604,0,0,1,phd,156578,0,0.0
53,female,11,6,95027,truck,13167,1,1,28,89,804,0,1,1,bachelors,88991,0,0.0
67,female,1,1,55528,sports,9769,0,0,62,6,627,1,1,1,high_school,75616,0,0.0
57,female,36,11,41230,sedan,24060,1,0,5,6,820,1,1,0,bachelors,198045,0,0.0
21,male,6,13,53242,sports,2020,0,1,58,35,619,1,1,1,phd,102226,0,0.0
19,male,25,15,70883,sports,12845,1,0,98,12,791,0,4,0,masters,163640,0,0.0
79,male,25,10,6783,truck,37612,1,1,20,66,760,1,0,1,masters,49480,0,0.0
23,female,23,19,33390,truck,37341,1,1,44,19,834,0,0,1,high_school,143619,0,0.0
71,male,11,8,13417,SUV,11485,0,0,44,72,743,0,2,1,high_school,35551,0,0.0
59,female,15,9,77102,sports,39210,0,0,86,52,742,0,0,1,bachelors,45494,0,0.0
21,male,22,16,22426,truck,8914,0,0,34,85,526,1,0,1,bachelors,48837,0,0.0
71,male,39,11,35750,SUV,41719,2,3,51,51,826,1,0,1,high_school,88484,0,0.0
46,female,8,5,63188,sedan,9802,2,1,45,96,815,1,0,1,masters,82524,1,5119.199185078723
35,male,31,18,15872,SUV,42288,0,1,65,60,717,1,1,0,phd,120993,0,0.0
43,male,14,10,99231,SUV,34314,0,0,56,86,400,1,3,1,bachelors,71202,0,0.0
61,female,36,8,53086,sports,49298,1,0,41,86,707,0,1,1,phd,87019,0,0.0
51,male,12,5,71770,sedan,20565,1,1,72,89,704,1,1,1,masters,186321,0,0.0
27,female,4,15,99368,sports,28617,1,1,76,95,429,1,2,1,high_school,69132,0,0.0
79,male,10,19,88514,sports,42766,2,0,97,60,818,1,1,1,masters,139744,0,0.0
53,male,9,15,93177,SUV,26609,1,1,15,55,334,0,2,0,phd,34688,1,1602.6047160837838
31,male,12,5,97663,SUV,45233,1,1,4,91,453,1,1,1,masters,34397,0,0.0
48,male,40,4,39720,truck,21371,0,0,0,93,701,1,1,0,masters,129812,0,0.0
65,male,45,3,23079,SUV,49384,2,1,21,39,363,0,2,0,bachelors,110619,0,0.0
32,male,49,1,22338,truck,20124,1,0,47,80,528,1,0,0,high_school,185940,0,0.0
25,male,14,5,8291,sports,13717,1,0,25,62,552,0,1,0,phd,99704,0,0.0
31,male,41,8,79084,SUV,49193,0,0,33,56,787,0,2,1,phd,79785,0,0.0
40,female,6,16,54393,sedan,38669,0,0,57,81,314,1,1,1,bachelors,48022,0,0.0
77,female,39,13,98558,sedan,27272,0,0,84,88,639,1,1,1,masters,123985,0,0.0
74,male,27,6,74770,sports,12842,0,1,6,3,662,1,1,0,phd,68542,0,0.0
79,male,31,18,31720,sports,39476,0,0,24,25,479,0,0,1,bachelors,116754,0,0.0
57,female,34,0,18368,SUV,3082,0,2,56,94,514,1,2,1,phd,169979,0,0.0
38,male,14,19,59313,truck,27261,0,0,11,61,453,0,0,1,bachelors,163457,0,0.0
33,male,47,14,52969,SUV,21970,1,0,30,75,344,0,1,1,bachelors,119942,0,0.0
62,female,35,17,53838,truck,10795,0,0,26,53,651,1,0,1,high_school,74350,0,0.0
35,male,20,2,13734,SUV,46309,1,0,85,61,320,1,2,0,high_school,193798,0,0.0
64,male,5,17,17197,sedan,34028,1,1,33,17,668,0,2,0,masters,42937,0,0.0
70,female,0,1,73895,sedan,21180,2,0,80,9,377,1,1,0,bachelors,117537,0,0.0
41,male,3,9,61831,truck,47335,1,0,74,35,418,0,2,1,phd,86770,0,0.0
43,male,10,10,63073,SUV,28351,0,0,92,1,658,1,2,1,masters,184023,0,0.0
42,female,43,2,77925,sports,39750,0,0,33,59,813,1,0,0,bachelors,71095,0,0.0
77,male,25,6,85488,truck,34268,1,1,36,88,802,1,2,1,masters,67298,0,0.0
77,female,36,7,99611,sedan,2015,0,0,57,46,331,1,0,1,phd,69191,0,0.0
77,male,22,18,89475,truck,44293,0,0,59,72,657,0,1,1,phd,92132,0,0.0
62,male,28,17,55302,SUV,25489,0,0,25,31,361,0,0,1,high_school,193370,0,0.0
58,female,20,12,20624,sports,37731,0,0,44,68,396,0,1,1,masters,93547,0,0.0
46,female,47,12,72271,sports,12866,0,0,44,50,677,0,2,0,high_school,71235,0,0.0
32,male,44,18,29315,truck,46015,0,0,31,66,795,0,2,0,bachelors,77886,0,0.0
62,female,44,11,22422,SUV,36474,1,1,68,80,751,0,2,1,bachelors,44288,0,0.0
18,female,48,16,44137,SUV,16272,0,0,83,76,514,1,1,1,phd,120614,0,0.0
42,male,26,11,77663,sports,33161,0,0,70,66,383,1,0,1,bachelors,55033,0,0.0
24,male,38,12,53232,sedan,3099,0,0,22,91,705,0,1,0,masters,143155,0,0.0
26,male,39,11,83142,SUV,7386,0,0,64,67,406,0,0,0,phd,199297,0,0.0
41,female,12,18,37743,sports,6338,0,0,38,81,788,0,2,0,phd,64498,0,0.0
18,female,22,13,20636,sports,9300,1,0,66,55,656,0,0,0,masters,197040,0,0.0
61,female,15,6,95884,SUV,22400,0,0,44,98,430,0,2,1,masters,101898,1,7835.001004170059
25,female,29,12,15108,SUV,25641,0,0,66,13,321,0,1,0,high_school,140292,0,0.0
41,male,3,5,78634,truck,5297,2,0,62,15,525,1,0,0,bachelors,112165,0,0.0
28,female,39,18,41180,sedan,20332,0,0,69,75,405,1,0,1,phd,140954,0,0.0
68,male,15,18,23883,truck,42173,1,1,94,74,693,0,1,0,bachelors,111877,0,0.0
34,female,30,3,49400,truck,48862,0,0,53,65,400,0,2,1,high_school,199702,1,3336.6007386383376
25,male,41,18,50999,sports,16201,0,1,26,32,447,1,0,0,high_school,162416,0,0.0
52,male,24,8,52951,sports,46382,0,0,92,12,529,1,0,1,phd,190899,0,0.0
52,male,43,15,12160,sedan,47129,3,0,78,29,386,1,0,0,bachelors,184201,0,0.0
50,female,11,3,60262,truck,34808,0,0,35,25,822,1,2,1,bachelors,60361,0,0.0
76,male,25,5,24929,truck,13810,0,1,4,81,392,1,1,1,phd,194782,0,0.0
22,male,36,7,88133,sports,8988,2,0,66,12,452,0,2,1,phd,126238,0,0.0
59,female,47,15,16123,sports,41327,0,0,50,67,722,1,0,0,high_school,156921,0,0.0
56,male,32,4,33357,SUV,20579,0,0,88,32,653,1,1,0,phd,189307,0,0.0
75,female,27,9,75496,truck,22483,1,0,31,14,708,1,1,1,high_school,138897,0,0.0
58,female,8,12,38556,sedan,1503,0,0,20,16,386,1,2,0,bachelors,58764,0,0.0
45,male,11,13,88791,truck,6344,0,0,16,5,510,1,1,0,bachelors,157415,0,0.0
24,male,4,6,66934,sports,9947,0,0,72,4,682,1,1,1,high_school,33446,0,0.0
26,female,27,19,83886,SUV,10533,4,0,25,32,823,1,0,0,bachelors,198374,0,0.0
25,male,34,5,35881,truck,48576,0,3,21,53,452,1,0,1,phd,44732,0,0.0
29,female,4,6,23409,sedan,41916,0,0,40,15,304,1,0,1,high_school,189282,0,0.0
51,female,33,4,60416,sports,47923,1,0,58,45,375,1,0,0,bachelors,150892,0,0.0
50,female,45,17,72982,SUV,16193,1,0,86,23,710,1,1,1,masters,65099,0,0.0
65,male,33,11,35657,truck,2381,0,0,74,4,303,0,0,0,masters,32062,0,0.0
72,female,12,5,91743,sedan,8012,2,0,9,66,671,1,0,1,bachelors,75618,0,0.0
40,male,38,0,53951,sports,16213,0,0,86,98,382,1,3,1,phd,96034,0,0.0
79,male,41,3,13752,sedan,28563,2,0,4,90,730,0,1,1,high_school,150497,0,0.0
41,male,44,18,18440,truck,16212,0,0,54,75,771,1,0,0,masters,100714,0,0.0
54,male,47,11,49864,sports,31124,0,0,25,49,661,1,1,0,phd,95014,0,0.0
52,female,13,14,54691,truck,47576,0,0,3,40,711,1,0,1,high_school,155194,0,0.0
61,male,10,2,77035,SUV,11711,1,0,26,88,334,0,0,1,masters,197415,1,4721.508071089757
57,female,41,19,91675,truck,31266,0,0,97,54,541,0,1,0,masters,137091,0,0.0
39,female,37,7,85303,SUV,48941,0,1,57,80,379,0,0,1,masters,108617,1,3577.2367162365126
44,male,3,10,27343,truck,10515,0,1,2,19,374,1,1,1,bachelors,99068,0,0.0
52,female,32,15,98248,sedan,21193,0,0,49,91,583,0,0,0,bachelors,40308,0,0.0
18,female,6,8,24673,sedan,45707,0,0,95,49,537,1,1,1,phd,172729,0,0.0
52,male,40,2,64954,sports,3131,0,1,25,34,636,0,0,1,high_school,116828,0,0.0
54,female,7,4,59698,sedan,3424,0,0,17,49,830,1,1,0,bachelors,110387,1,5104.29325792848
64,female,36,19,31520,sedan,45344,0,0,6,78,382,0,1,0,high_school,115822,0,0.0
31,female,9,13,20784,SUV,22823,0,0,44,32,617,0,0,1,masters,27254,0,0.0
20,female,42,14,43079,sedan,10200,1,0,12,66,596,1,0,0,bachelors,126062,1,8054.240170633248
18,male,14,5,49220,SUV,24031,0,0,5,70,641,1,1,1,masters,44626,1,2870.1322934529876
22,female,37,3,25491,SUV,4216,0,0,34,9,723,1,0,0,high_school,44449,0,0.0
43,female,14,7,53720,SUV,46594,2,0,94,89,318,1,2,1,bachelors,65295,0,0.0
72,female,4,18,19718,truck,1016,1,1,52,40,303,1,0,1,bachelors,103290,0,0.0
31,female,28,4,40597,SUV,38438,0,0,67,39,766,0,0,1,masters,40368,0,0.0
56,male,18,12,66217,truck,27378,0,1,41,5,489,1,2,0,phd,108258,0,0.0
44,female,9,15,31832,SUV,36391,0,0,3,32,580,1,1,0,bachelors,32231,0,0.0
26,male,11,0,59818,truck,32734,0,0,59,15,362,1,0,0,high_school,126596,0,0.0
32,female,3,12,17864,sports,14350,1,0,44,23,553,0,0,1,bachelors,90343,0,0.0
32,male,30,10,93378,sports,15450,0,0,71,93,301,1,1,0,masters,60175,0,0.0
43,male,17,7,13177,truck,2473,0,1,74,59,366,0,0,0,high_school,155560,0,0.0
59,male,15,7,51115,sports,26525,0,0,65,73,585,1,2,0,bachelors,21104,0,0.0
77,male,39,13,61210,sedan,29572,0,2,81,10,431,1,0,0,masters,52329,0,0.0
30,male,35,12,56954,SUV,43028,3,0,81,43,347,1,2,1,masters,146871,0,0.0
68,female,24,2,16844,truck,38079,0,0,21,85,346,0,2,0,phd,25815,0,0.0
49,female,22,3,79130,sports,31110,0,0,11,2,530,1,1,0,masters,164108,0,0.0
56,female,11,19,18418,sports,36504,0,1,80,37,583,1,0,1,masters,161013,0,0.0
66,male,33,14,39854,sedan,27888,0,0,50,39,848,0,2,1,phd,113918,0,0.0
69,female,35,14,93644,SUV,2946,1,0,16,86,327,1,0,0,phd,35211,0,0.0
78,male,36,12,80955,sedan,22943,0,0,35,18,710,0,0,0,phd,99548,0,0.0
49,male,2,8,93075,truck,16740,2,0,92,39,772,1,0,1,phd,118504,0,0.0
21,female,8,9,48950,sports,27445,1,1,48,52,521,1,0,1,masters,146926,0,0.0
47,female,17,11,70227,sports,10176,0,0,15,76,675,0,0,0,high_school,147657,0,0.0
54,male,42,13,17835,sports,30866,0,1,74,35,308,1,1,0,masters,168338,0,0.0
40,male,34,0,22533,sedan,45651,0,0,43,66,712,1,1,0,masters,124464,0,0.0
56,female,33,13,92858,sedan,38269,1,0,21,85,770,1,2,0,bachelors,122637,0,0.0
62,female,40,13,15223,SUV,12618,2,0,93,88,369,0,0,1,high_school,76044,0,0.0
32,female,13,7,15273,truck,25736,1,0,7,19,641,1,1,1,masters,75641,0,0.0
60,female,3,15,38519,SUV,39682,0,1,17,27,365,1,2,1,bachelors,30689,0,0.0
46,male,28,13,29160,SUV,25601,1,0,79,56,369,0,1,1,high_school,29519,0,0.0
53,female,40,0,79385,sports,33850,0,0,83,2,560,1,1,0,high_school,101628,0,0.0
30,female,44,15,96192,sedan,42132,1,0,71,85,831,1,2,1,masters,93157,0,0.0
49,female,49,17,53988,truck,6804,1,0,93,36,695,1,2,1,high_school,100310,0,0.0
24,male,14,6,15348,SUV,20525,0,0,37,17,657,0,1,0,bachelors,160894,0,0.0
76,male,27,14,88460,truck,46061,0,1,28,83,657,1,1,1,high_school,192055,0,0.0
68,male,41,16,72519,sports,28419,0,0,76,45,691,1,0,1,masters,117735,0,0.0
39,male,15,18,95426,SUV,24746,0,0,80,4,675,0,2,0,phd,182587,0,0.0
45,female,11,12,19629,sedan,13812,1,1,80,72,485,0,5,1,masters,85627,0,0.0
19,male,4,8,54056,SUV,27686,0,0,72,92,604,0,0,1,phd,45071,0,0.0
59,female,33,14,16273,sports,36852,0,0,1,80,363,1,0,0,bachelors,153682,0,0.0
62,female,41,2,45416,SUV,3045,0,0,58,75,477,0,1,0,high_school,122034,0,0.0
79,female,0,0,12894,sports,26336,1,0,41,56,534,1,2,0,bachelors,147354,0,0.0
74,female,38,15,51073,SUV,46952,1,2,87,25,339,1,0,1,high_school,80110,0,0.0
70,male,31,7,50693,truck,31460,0,0,20,32,586,0,0,1,high_school,141310,0,0.0
23,male,25,12,56466,sedan,48143,0,0,1,96,558,1,2,1,high_school,106448,0,0.0
45,male,16,7,29343,sports,22668,1,0,4,35,766,0,2,0,phd,151382,0,0.0
45,female,47,16,48095,truck,35320,0,0,16,92,539,0,2,1,high_school,92846,0,0.0
61,female,26,13,36174,sports,41584,0,0,23,21,802,0,1,1,phd,181223,0,0.0
61,female,23,6,55801,SUV,33575,1,0,7,81,841,0,1,0,masters,155139,0,0.0
37,female,34,14,77436,sports,34592,1,0,29,16,650,1,0,0,phd,157382,0,0.0
47,female,45,15,74336,sports,37516,1,0,49,43,840,1,1,1,masters,107014,0,0.0
79,male,41,18,47926,sedan,6578,2,0,21,51,611,1,1,0,phd,147381,0,0.0
28,female,38,5,77590,truck,38965,1,0,58,87,407,0,2,0,bachelors,95593,0,0.0
75,male,25,0,43827,SUV,42798,0,0,23,21,329,0,0,0,high_school,198846,0,0.0
72,female,48,11,49775,sedan,22079,0,0,25,68,608,1,1,0,bachelors,115140,0,0.0
45,female,37,17,46201,sports,1937,0,0,60,0,785,0,1,1,bachelors,45238,0,0.0
42,male,22,15,34373,sedan,8595,0,1,7,82,345,1,1,1,phd,99583,0,0.0
56,male,21,11,32525,sports,1424,0,0,11,29,658,0,1,0,phd,42231,0,0.0
79,female,3,19,77651,SUV,45270,1,0,13,38,436,0,0,1,masters,46499,0,0.0
50,female,48,12,35486,sports,4051,1,0,29,78,730,1,0,0,bachelors,66068,0,0.0
18,female,8,7,83604,sedan,36673,0,0,54,34,550,1,0,0,bachelors,179018,0,0.0
74,female,3,0,23640,sedan,32342,0,0,98,68,732,1,1,0,phd,142510,0,0.0
44,male,6,6,66455,sports,13238,0,0,60,69,506,0,0,0,bachelors,177081,0,0.0
79,female,22,14,41136,truck,28786,1,0,61,88,745,1,2,0,high_school,25621,0,0.0
74,male,1,12,67425,sedan,30668,0,0,30,10,358,1,1,0,high_school,32838,0,0.0
69,female,48,12,61539,truck,3694,1,0,91,50,505,0,1,1,phd,96644,0,0.0
30,male,23,8,86664,truck,4595,1,0,26,62,630,0,1,1,bachelors,166787,0,0.0
58,male,39,14,29942,truck,2267,2,0,99,85,824,0,2,0,bachelors,75200,0,0.0
20,female,30,3,73363,truck,1421,0,1,0,33,457,0,0,1,high_school,89743,0,0.0
56,male,46,12,63596,sedan,20650,0,1,40,54,403,0,2,0,phd,129931,0,0.0
23,female,30,11,86526,sedan,8017,1,0,13,77,658,1,1,1,high_school,95059,0,0.0
25,male,46,4,40255,truck,10849,0,0,73,72,664,0,0,1,bachelors,84099,0,0.0
44,female,39,6,67129,sedan,24513,1,0,49,19,478,1,0,1,phd,188716,0,0.0
26,male,47,7,90523,truck,45899,0,1,41,79,657,0,1,0,bachelors,175706,0,0.0
79,female,42,4,67286,truck,42644,1,0,70,57,563,0,4,1,phd,189396,0,0.0
54,female,33,8,91437,truck,3226,0,0,39,80,848,0,0,0,high_school,170008,0,0.0
50,male,23,13,21277,sports,5388,2,0,13,16,652,0,0,0,high_school,40934,0,0.0
68,male,48,11,6643,SUV,3422,1,0,99,33,663,1,2,0,phd,135065,0,0.0
59,male,25,3,28729,sedan,40994,0,0,90,74,549,1,3,1,phd,57420,0,0.0
61,male,15,19,91623,sedan,10269,0,0,10,98,419,1,0,0,high_school,45805,0,0.0
41,female,46,7,26818,truck,13177,0,0,62,61,491,0,2,1,high_school,100495,0,0.0
32,male,12,16,70555,sports,13032,2,0,48,33,361,1,1,1,bachelors,184592,0,0.0
76,female,14,7,58629,sports,45276,2,1,36,99,509,1,0,1,phd,174526,0,0.0
71,male,26,0,60438,sedan,8316,1,0,9,71,351,1,1,0,phd,88731,0,0.0
49,female,3,19,14457,truck,3843,1,1,53,18,612,1,1,0,phd,158910,0,0.0
49,female,15,1,64629,sedan,29015,1,0,6,96,578,1,1,1,high_school,139099,0,0.0
41,female,29,3,38922,truck,5111,0,0,80,86,687,0,0,0,high_school,87072,0,0.0
58,female,43,0,14820,truck,46231,1,0,11,65,501,0,0,1,high_school,27341,0,0.0
69,male,29,6,37750,SUV,23043,1,0,54,71,438,0,3,0,masters,190677,0,0.0
66,male,35,0,42790,truck,31101,0,0,35,92,318,0,0,1,masters,54490,0,0.0
79,female,2,8,93405,SUV,47546,2,0,6,41,620,1,0,0,high_school,159869,1,2410.6454777866243
66,male,21,2,39421,sedan,37992,1,0,23,50,394,1,0,1,phd,73288,0,0.0
75,male,48,11,73038,sedan,28870,0,0,33,70,429,1,1,0,phd,174674,0,0.0
69,female,21,18,87201,sports,38747,0,1,64,48,404,1,1,0,phd,80932,0,0.0
29,male,49,14,67325,SUV,36169,1,0,28,28,496,0,2,1,bachelors,57207,0,0.0
79,male,49,15,30600,sedan,42709,1,0,25,94,559,1,0,0,high_school,82117,0,0.0
56,male,48,9,34394,SUV,30415,2,1,73,29,338,1,2,1,phd,82370,0,0.0
19,female,11,5,84622,sedan,16685,0,0,64,98,800,1,1,0,phd,48353,0,0.0
20,male,20,16,41171,SUV,16963,1,0,44,24,430,1,2,1,high_school,174588,0,0.0
66,female,3,16,66526,SUV,30698,2,0,16,67,453,0,0,1,high_school,151730,1,3041.099225247088
54,male,30,18,18149,truck,30150,0,0,35,61,620,1,0,0,high_school,30917,0,0.0
66,male,43,17,35394,sedan,22426,0,0,72,37,421,0,0,1,masters,62420,0,0.0
73,male,30,10,19396,sports,7035,1,0,62,16,443,0,0,1,high_school,34711,0,0.0
34,female,22,6,28324,truck,8071,0,1,22,73,485,1,4,0,high_school,92241,0,0.0
76,female,19,9,52198,sports,21578,0,0,92,0,846,0,2,1,masters,127853,0,0.0
66,male,14,6,87705,SUV,29044,0,0,65,17,510,0,0,0,high_school,86395,0,0.0
19,female,22,4,96779,truck,29842,0,0,81,62,699,1,1,1,phd,123299,0,0.0
19,male,27,11,36016,SUV,17531,0,0,91,45,332,1,1,0,phd,80476,0,0.0
45,female,15,15,8194,sedan,3170,2,1,41,18,458,0,1,1,phd,50574,1,7053.5311130026175
71,female,36,17,37398,sedan,25687,0,0,70,49,705,1,0,1,phd,42262,0,0.0
40,male,20,2,9789,sports,38886,1,0,74,95,663,1,0,0,phd,177942,0,0.0
54,male,14,19,90695,sedan,8297,0,0,70,53,462,0,0,1,bachelors,71557,0,0.0
49,male,16,14,69967,sports,5163,0,0,42,30,430,0,0,1,masters,192424,1,6242.642815096986
50,male,49,4,66134,SUV,41794,0,0,87,96,395,0,2,1,high_school,118995,0,0.0
18,female,36,12,75886,truck,42787,0,0,54,85,569,1,0,1,phd,81430,0,0.0
36,female,12,18,29977,sedan,43712,0,0,55,64,666,0,2,1,phd,108990,0,0.0
79,female,18,11,5129,SUV,36707,1,0,78,45,664,1,1,1,phd,156259,0,0.0
19,male,29,4,64683,truck,39495,1,1,30,34,733,0,1,1,bachelors,192643,0,0.0
